order_id,product_id,quantity,unit_price,line_total
ORD0000001,PROD00411,3,5953.73,17861.19
ORD0000001,PROD00498,2,9732.63,19465.26
ORD0000001,PROD00534,2,18559.81,37119.62
ORD0000001,PROD00357,1,348.25,348.25
ORD0000002,PROD00295,3,8456.47,25369.41
ORD0000002,PROD00549,1,17861.28,17861.28
ORD0000002,PROD00031,3,3248.17,9744.51
ORD0000002,PROD00062,1,3775.32,3775.32
ORD0000002,PROD00221,2,16190.24,32380.48
ORD0000003,PROD00186,3,6143.61,18430.83
ORD0000003,PROD00309,2,4262.6,8525.2
ORD0000003,PROD00148,2,11927.35,23854.7
ORD0000003,PROD00055,2,16901.95,33803.9
ORD0000003,PROD00571,1,19704.89,19704.89
ORD0000004,PROD00086,1,7614.26,7614.26
ORD0000004,PROD00292,2,15332.22,30664.44
ORD0000005,PROD00513,3,6536.4,19609.2
ORD0000005,PROD00104,3,2933.08,8799.24
ORD0000005,PROD00101,1,4461.41,4461.41
ORD0000005,PROD00305,1,18760.85,18760.85
ORD0000005,PROD00351,2,13242.24,26484.48
ORD0000006,PROD00265,3,13696.3,41088.9
ORD0000007,PROD00331,2,10695.12,21390.24
ORD0000007,PROD00440,2,639.36,1278.72
ORD0000008,PROD00037,2,3820.89,7641.78
ORD0000008,PROD00526,3,9558.65,28675.95
ORD0000008,PROD00397,3,1824.14,5472.42
ORD0000008,PROD00396,3,12002.03,36006.09
ORD0000008,PROD00567,2,12406.06,24812.12
ORD0000009,PROD00272,2,6936.34,13872.68
ORD0000009,PROD00420,2,16626.9,33253.8
ORD0000009,PROD00489,3,2237.08,6711.24
ORD0000009,PROD00176,3,10413.0,31239.0
ORD0000009,PROD00231,1,11120.45,11120.45
ORD0000010,PROD00580,3,10559.04,31677.12
ORD0000011,PROD00208,2,5746.23,11492.46
ORD0000011,PROD00074,2,14680.56,29361.12
ORD0000011,PROD00394,2,5304.1,10608.2
ORD0000012,PROD00280,2,3988.2,7976.4
ORD0000013,PROD00291,1,3649.46,3649.46
ORD0000013,PROD00304,3,13928.03,41784.09
ORD0000013,PROD00043,3,12227.36,36682.08
ORD0000013,PROD00556,2,13201.93,26403.86
ORD0000014,PROD00151,1,7740.14,7740.14
ORD0000014,PROD00319,2,12924.65,25849.3
ORD0000014,PROD00247,3,19325.25,57975.75
ORD0000015,PROD00154,2,2159.2,4318.4
ORD0000015,PROD00253,3,14975.83,44927.49
ORD0000016,PROD00507,3,11186.72,33560.16
ORD0000017,PROD00600,3,1183.97,3551.91
ORD0000017,PROD00462,3,18774.78,56324.34
ORD0000017,PROD00105,3,2722.13,8166.39
ORD0000018,PROD00094,3,1277.04,3831.12
ORD0000019,PROD00579,3,15515.06,46545.18
ORD0000019,PROD00167,2,13461.65,26923.3
ORD0000019,PROD00254,1,9419.6,9419.6
ORD0000019,PROD00571,2,19704.89,39409.78
ORD0000020,PROD00111,1,15830.53,15830.53
ORD0000020,PROD00350,2,15434.16,30868.32
ORD0000021,PROD00251,1,2556.94,2556.94
ORD0000021,PROD00167,3,13461.65,40384.95
ORD0000021,PROD00543,3,618.97,1856.91
ORD0000021,PROD00162,2,9697.68,19395.36
ORD0000022,PROD00327,2,15803.99,31607.98
ORD0000022,PROD00112,1,10228.75,10228.75
ORD0000023,PROD00570,3,15155.15,45465.45
ORD0000024,PROD00472,3,10272.95,30818.85
ORD0000024,PROD00410,1,3721.62,3721.62
ORD0000025,PROD00596,3,19659.75,58979.25
ORD0000025,PROD00120,2,4876.02,9752.04
ORD0000026,PROD00394,2,5304.1,10608.2
ORD0000027,PROD00595,3,6109.23,18327.69
ORD0000027,PROD00422,1,511.06,511.06
ORD0000027,PROD00551,3,13461.07,40383.21
ORD0000027,PROD00145,2,14844.98,29689.96
ORD0000027,PROD00317,2,11484.33,22968.66
ORD0000028,PROD00425,1,11189.77,11189.77
ORD0000028,PROD00068,2,2955.29,5910.58
ORD0000029,PROD00050,2,19778.07,39556.14
ORD0000029,PROD00183,2,5137.32,10274.64
ORD0000029,PROD00247,1,19325.25,19325.25
ORD0000029,PROD00088,2,12435.61,24871.22
ORD0000030,PROD00288,1,12699.4,12699.4
ORD0000030,PROD00508,1,6529.74,6529.74
ORD0000030,PROD00071,3,19091.23,57273.69
ORD0000031,PROD00569,1,68.81,68.81
ORD0000031,PROD00359,1,4936.82,4936.82
ORD0000032,PROD00033,3,10669.59,32008.77
ORD0000032,PROD00501,3,12703.34,38110.02
